Epoch 001/100 [0079/0164] --{'loss_classifier': 0.7269335389137268, 'loss_box_reg': 0.04444752261042595, 'loss_objectness': 0.6950497031211853, 'loss_rpn_box_reg': 0.2715906798839569}ETA: 2:21:58.751187
Epoch 001/100 [0080/0164] --{'loss_classifier': 0.725888729095459, 'loss_box_reg': 0.04097023606300354, 'loss_objectness': 0.6948711276054382, 'loss_rpn_box_reg': 0.4338143467903137}ETA: 2:21:57.658986
Epoch 001/100 [0081/0164] --{'loss_classifier': 0.7272956967353821, 'loss_box_reg': 0.07540711760520935, 'loss_objectness': 0.6944483518600464, 'loss_rpn_box_reg': 0.13104206323623657}ETA: 2:21:55.722963
Epoch 001/100 [0082/0164] --{'loss_classifier': 0.7358624935150146, 'loss_box_reg': 0.042688965797424316, 'loss_objectness': 0.6956719756126404, 'loss_rpn_box_reg': 0.40149784088134766}ETA: 2:21:54.883821
Epoch 001/100 [0083/0164] --{'loss_classifier': 0.7323780059814453, 'loss_box_reg': 0.03070506453514099, 'loss_objectness': 0.6956226229667664, 'loss_rpn_box_reg': 0.2889585494995117}ETA: 2:21:56.147059
Epoch 001/100 [0084/0164] --{'loss_classifier': 0.7325087189674377, 'loss_box_reg': 0.018526751548051834, 'loss_objectness': 0.6949240565299988, 'loss_rpn_box_reg': 0.2104223221540451}ETA: 2:21:57.026136
Epoch 001/100 [0085/0164] --{'loss_classifier': 0.7257565855979919, 'loss_box_reg': 0.08218954503536224, 'loss_objectness': 0.6935186386108398, 'loss_rpn_box_reg': 0.14305175840854645}ETA: 2:21:58.282757
Epoch 001/100 [0086/0164] --{'loss_classifier': 0.7330383658409119, 'loss_box_reg': 0.08652262389659882, 'loss_objectness': 0.6959295272827148, 'loss_rpn_box_reg': 0.4496462345123291}ETA: 2:21:59.653894
Epoch 001/100 [0087/0164] --{'loss_classifier': 0.7272873520851135, 'loss_box_reg': 0.04469913989305496, 'loss_objectness': 0.6954857707023621, 'loss_rpn_box_reg': 0.246395081281662}ETA: 2:22:00.849725
Epoch 001/100 [0088/0164] --{'loss_classifier': 0.7298367023468018, 'loss_box_reg': 0.017542783170938492, 'loss_objectness': 0.6954468488693237, 'loss_rpn_box_reg': 0.2740039825439453}ETA: 2:22:01.618469
